name,language,stars,forks,size,last_pushed
mozilla/shumway,TypeScript,3348,342,246261,2017-04-24T07:54:11Z
apollographql/apollo-client,TypeScript,3111,313,4341,2017-06-23T22:05:32Z
ng-bootstrap/ng-bootstrap,TypeScript,3086,523,1559,2017-06-21T18:10:00Z
ngrx/store,TypeScript,2979,259,183,2017-06-20T12:30:05Z
typings/typings,TypeScript,2947,235,487,2017-06-21T22:16:57Z
electron-userland/electron-builder,TypeScript,2919,333,113887,2017-06-23T18:49:13Z
ceolter/ag-grid,TypeScript,2889,481,43412,2017-06-23T10:44:47Z
valor-software/ngx-bootstrap,TypeScript,2835,846,158890,2017-06-23T18:56:10Z
esvit/ng-table,TypeScript,2737,931,4796,2017-03-31T14:42:40Z
turbulenz/turbulenz_engine,TypeScript,2718,414,35786,2016-01-01T01:24:37Z
Microsoft/code-push,TypeScript,2713,234,10954,2017-06-21T17:28:32Z
Microsoft/vscode-go,TypeScript,2593,247,2757,2017-06-23T20:58:22Z
learnapollo/learnapollo,TypeScript,2493,44,44663,2017-06-06T09:40:04Z
fuse-box/fuse-box,TypeScript,2476,121,5639,2017-06-22T14:46:06Z
pnpm/pnpm,TypeScript,2460,68,2166,2017-06-23T22:43:07Z
MicrosoftDX/Vorlonjs,TypeScript,2404,233,86661,2017-05-14T18:28:17Z
typeorm/typeorm,TypeScript,2298,169,4397,2017-06-23T13:56:10Z
angular/universal,TypeScript,2283,296,4133,2017-06-23T17:42:39Z
space10-community/conversational-form,TypeScript,2251,285,8690,2017-06-21T10:02:03Z
phodal/growth,TypeScript,2217,365,74310,2017-05-30T12:06:17Z
desktop/desktop,TypeScript,2197,205,14246,2017-06-23T22:49:47Z
Urigo/angular-meteor,TypeScript,2193,494,14909,2017-06-22T00:27:35Z
angular/zone.js,TypeScript,2177,260,2296,2017-06-23T17:49:32Z
aspnet/JavaScriptServices,TypeScript,2163,360,7163,2017-06-23T11:08:29Z
palantir/plottable,TypeScript,2128,175,74949,2017-06-23T20:24:59Z
ant-design/ant-design-mobile,TypeScript,2125,339,59769,2017-06-23T12:42:17Z
Microsoft/TypeScript-React-Starter,TypeScript,2035,90,123,2017-06-17T01:53:55Z
angular/angularfire2,TypeScript,2034,536,672,2017-06-22T14:51:01Z
APIs-guru/graphql-voyager,TypeScript,2022,60,9370,2017-06-05T10:38:48Z
palantir/tslint,TypeScript,2003,422,12760,2017-06-23T20:38:45Z
